
pkt_len,ttl,proto,sport,dport,flags,label
1060,64,6,443,1024,16,0
135,64,17,80,443,16,0
524,64,6,443,8080,2,0
1470,64,6,80,443,0,0
270,64,6,80,8080,16,0
788,64,6,53,443,16,0
1234,64,6,53,8080,2,0
580,128,17,22,8080,16,0
1099,64,17,53,80,16,0
564,64,6,53,8080,2,0
1223,128,6,443,80,16,0
1306,64,6,53,8080,2,0
1149,128,6,22,1024,16,0
617,64,6,443,8080,16,0
721,64,6,22,1024,16,0
596,64,17,53,1024,2,0
1052,128,6,22,8080,16,0
685,64,6,443,1024,16,0
835,128,6,80,80,2,0
1091,64,6,22,443,16,0
1403,128,6,22,8080,16,0
1394,64,6,443,1024,2,0
1411,128,6,443,8080,16,0
1294,64,6,22,80,2,0
229,64,6,53,8080,2,0
1288,64,6,22,8080,2,0
1448,64,6,443,1024,16,0
1440,64,6,80,80,0,0
1346,64,6,80,443,16,0
672,64,6,53,443,2,0
667,64,6,22,1024,16,0
1012,128,6,80,8080,16,0
1322,128,6,22,1024,16,0
1422,64,6,443,1024,0,0
749,128,17,80,1024,0,0
1474,128,6,53,8080,16,0
688,64,6,443,80,16,0
357,64,6,53,1024,2,0
1288,64,6,443,8080,16,0
1297,64,17,80,80,16,0
723,64,6,53,1024,2,0
703,64,6,53,443,16,0
1437,128,6,443,80,0,0
1296,128,6,53,1024,16,0
1176,64,6,443,80,16,0
481,64,17,443,80,16,0
603,64,6,443,80,2,0
1331,64,6,443,80,16,0
1449,64,17,80,80,2,0
1450,128,6,443,80,16,0
1176,64,6,22,1024,2,0
991,128,6,53,443,16,0
1144,128,17,22,8080,16,0
738,64,6,80,80,2,0
152,128,6,22,8080,16,0
41,64,6,53,1024,16,0
681,64,6,22,80,2,0
259,64,6,80,443,16,0
894,128,6,443,8080,2,0
1288,64,6,22,80,16,0
424,128,6,80,1024,2,0
1466,128,6,80,443,16,0
1193,64,6,53,8080,16,0
1116,128,6,53,8080,0,0
769,64,6,22,80,2,0
1479,64,6,443,443,16,0
286,64,6,80,443,16,0
875,64,6,22,443,2,0
242,128,6,80,443,16,0
1247,64,17,80,1024,2,0
162,64,6,443,443,2,0
440,128,6,443,8080,16,0
806,64,6,22,8080,16,0
333,64,17,443,1024,2,0
319,64,6,443,8080,16,0
923,128,6,22,8080,16,0
237,64,6,443,443,0,0
1021,128,6,53,8080,16,0
791,128,17,80,1024,2,0
183,64,6,80,443,16,0
648,64,6,80,80,16,0
1264,64,6,80,443,16,0
1187,64,17,22,1024,16,0
226,64,17,80,443,16,0
1389,64,6,80,443,16,0
503,64,17,80,1024,2,0
1412,64,17,80,443,16,0
699,64,6,53,1024,16,0
803,64,6,80,1024,16,0
994,64,6,53,80,16,0
442,64,17,22,8080,16,0
1409,64,6,443,8080,16,0
186,64,17,80,443,16,0
1211,64,6,443,443,16,0
903,128,6,443,80,16,0
528,64,6,22,80,2,0
968,128,6,443,80,16,0
590,64,17,53,1024,16,0
377,64,17,443,80,2,0
911,128,17,443,80,16,0
680,64,6,443,443,2,0
512,64,6,80,80,16,0
190,64,6,80,1024,16,0
1478,64,6,53,1024,16,0
1361,64,6,53,443,16,0
302,64,6,80,80,2,0
183,128,6,53,80,16,0
385,64,6,80,1024,2,0
663,64,17,22,80,16,0
1056,64,17,443,80,16,0
920,64,6,443,80,16,0
41,64,6,53,8080,16,0
936,64,6,80,443,16,0
1367,64,6,80,8080,2,0
293,64,17,53,443,2,0
492,64,17,80,1024,16,0
1100,64,6,22,80,2,0
1223,128,6,443,443,0,0
1054,64,6,53,8080,2,0
48,64,6,53,80,16,0
1296,128,6,80,1024,2,0
1162,64,17,53,443,16,0
855,128,6,22,443,0,0
247,64,6,80,443,16,0
1194,128,17,80,80,16,0
443,64,6,80,8080,2,0
191,128,6,80,8080,16,0
93,64,6,22,443,0,0
1183,64,6,80,1024,0,0
667,64,6,53,1024,2,0
626,64,6,22,8080,16,0
1483,128,6,443,1024,2,0
1485,128,17,443,8080,16,0
143,64,6,53,443,16,0
293,128,17,53,8080,2,0
1290,64,17,22,8080,16,0
1175,64,6,443,443,16,0
549,64,17,443,1024,0,0
138,128,6,443,8080,16,0
192,64,17,443,8080,16,0
953,64,6,443,443,0,0
917,128,6,80,1024,16,0
377,64,6,53,8080,2,0
861,64,17,80,443,0,0
1226,64,6,443,8080,0,0
996,64,6,22,80,2,0
200,64,17,22,443,16,0
840,64,6,443,1024,16,0
437,64,6,443,1024,2,0
1340,64,6,22,1024,2,0
855,64,6,80,1024,16,0
1455,128,6,80,8080,16,0
1198,64,17,443,8080,16,0
1258,64,6,80,1024,16,0
440,64,6,22,1024,2,0
679,64,6,80,1024,16,0
1096,64,17,443,8080,0,0
727,128,17,22,1024,2,0
499,64,6,80,1024,16,0
994,64,17,53,80,2,0
509,64,6,22,80,16,0
1438,64,17,22,1024,16,0
1085,128,6,53,443,2,0
789,64,17,53,1024,2,0
77,64,6,22,80,2,0
269,64,6,53,443,16,0
1428,64,6,443,443,16,0
602,128,6,443,1024,2,0
477,64,6,443,80,16,0
1346,128,6,22,80,16,0
66,64,6,53,443,16,0
265,128,6,53,1024,2,0
1340,64,6,80,8080,16,0
837,64,6,80,8080,2,0
323,64,6,53,80,0,0
918,128,17,53,8080,16,0
999,128,6,53,80,16,0
492,64,6,22,80,16,0
1059,128,6,53,80,2,0
855,64,6,80,8080,16,0
698,128,17,22,80,16,0
586,64,6,53,443,16,0
1255,128,6,80,1024,2,0
1112,128,6,22,1024,16,0
56,128,6,53,80,2,0
1235,64,6,53,1024,0,0
1283,64,6,53,8080,16,0
197,128,17,22,8080,2,0
516,64,6,80,1024,16,0
1109,128,6,80,8080,2,0
1436,128,6,443,1024,2,0
557,64,6,53,1024,2,0
138,128,6,443,1024,16,0
1100,64,6,443,80,16,0
319,128,17,80,1024,16,0
1412,128,17,22,80,16,0
536,64,6,22,1024,16,0
341,64,6,80,1024,16,0
220,128,6,22,1024,16,0
646,64,6,443,8080,16,0
1162,64,6,53,80,2,0
739,64,6,80,80,16,0
1032,64,17,53,1024,16,0
1179,64,6,22,1024,16,0
230,64,17,53,8080,16,0
292,64,6,22,8080,0,0
1020,64,6,22,8080,16,0
967,64,6,443,80,2,0
1224,64,6,22,80,0,0
1319,64,17,443,80,2,0
1386,64,6,443,1024,2,0
167,64,17,443,80,2,0
57,64,6,80,443,0,0
605,128,17,80,443,2,0
609,64,6,22,8080,16,0
1386,128,17,443,80,2,0
725,128,6,80,443,16,0
665,64,6,443,8080,2,0
1351,128,6,53,80,16,0
893,128,17,53,1024,16,0
1001,64,17,53,443,16,0
194,64,6,22,1024,16,0
529,128,6,443,80,16,0
1449,128,17,53,443,16,0
824,64,17,80,80,16,0
1167,128,17,53,1024,16,0
1456,128,6,53,443,2,0
285,128,6,53,1024,16,0
1239,128,6,22,80,16,0
1102,128,6,80,80,2,0
798,64,6,443,1024,16,0
577,64,6,80,443,16,0
960,64,6,443,1024,2,0
447,128,17,22,80,2,0
564,64,6,22,1024,16,0
867,64,6,22,80,16,0
942,64,6,22,1024,0,0
75,64,6,443,443,2,0
724,128,6,53,443,16,0
59,128,6,443,1024,2,0
360,64,6,80,1024,16,0
551,64,6,22,443,16,0
439,64,6,22,80,16,0
693,64,6,80,443,2,0
1011,64,6,443,80,16,0
510,64,6,53,1024,2,0
1206,64,6,53,1024,16,0
1155,64,17,80,80,16,0
1417,64,17,53,1024,16,0
873,64,6,443,80,2,0
766,64,6,443,8080,16,0
893,64,6,80,443,16,0
90,128,6,443,8080,2,0
614,64,6,22,80,16,0
1253,64,6,80,443,0,0
1188,128,6,443,80,16,0
189,64,6,80,443,2,0
353,128,6,53,443,16,0
609,64,6,443,443,0,0
1405,128,6,22,443,16,0
344,128,6,443,80,16,0
721,128,6,80,443,16,0
877,128,17,80,443,16,0
1117,64,6,443,8080,16,0
1042,64,6,22,1024,0,0
483,128,6,22,1024,16,0
652,64,6,22,8080,2,0
1032,128,17,80,8080,2,0
303,64,6,443,80,2,0
1116,64,6,53,80,16,0
1043,64,6,80,80,16,0
44,64,17,22,8080,2,0
1166,64,17,443,8080,0,0
1259,64,6,22,443,16,0
813,64,6,53,80,16,0
916,64,6,22,80,16,0
1031,64,6,22,80,0,0
923,128,6,53,1024,16,0
1413,64,6,443,443,16,0
86,64,6,80,80,2,0
906,64,6,443,80,16,0
862,128,6,53,80,16,0
975,64,6,22,1024,2,0
695,128,17,443,1024,0,0
308,128,6,80,8080,16,0
409,64,6,53,443,16,0
675,64,17,443,8080,16,0
1169,64,6,80,443,16,0
696,64,17,53,1024,2,0
159,64,6,80,80,16,0
870,128,6,53,8080,16,0
1121,64,17,22,80,16,0
1409,64,6,443,8080,16,0
780,64,6,80,1024,16,0
156,128,17,53,1024,2,0
830,64,6,80,1024,16,0
1190,64,6,80,8080,2,0
1456,128,17,443,443,2,0
1052,128,6,22,8080,16,0
1121,64,17,80,443,16,0
673,64,6,53,8080,16,0
552,128,6,53,8080,16,0
841,64,6,22,1024,16,0
1159,64,6,53,80,16,0
1181,64,17,22,80,16,0
599,64,17,53,443,2,0
527,128,6,443,80,16,0
1300,128,6,80,8080,2,0
936,64,6,443,8080,16,0
1335,64,6,80,1024,2,0
1252,64,6,80,1024,16,0
743,64,6,80,80,16,0
620,128,6,443,443,2,0
829,64,6,80,80,16,0
900,64,6,443,80,16,0
286,64,6,22,80,0,0
1139,64,6,53,80,16,0
193,64,6,53,8080,16,0
1498,128,6,80,443,2,0
1036,64,6,443,8080,2,0
1149,128,6,53,443,2,0
736,64,6,443,1024,16,0
1348,64,6,443,80,2,0
1283,64,6,80,8080,16,0
1132,128,6,53,443,2,0
1110,128,6,80,1024,0,0
1048,64,17,80,1024,2,0
133,64,6,53,80,2,0
997,128,6,53,443,16,0
1051,64,6,22,8080,2,0
492,64,6,22,80,2,0
1267,128,6,443,8080,16,0
951,64,6,53,1024,2,0
257,64,6,22,8080,16,0
513,64,6,443,8080,2,0
471,64,6,443,80,2,0
380,64,6,443,8080,2,0
590,128,6,22,80,16,0
1352,64,6,53,1024,16,0
1317,64,6,80,80,16,0
396,64,17,443,80,0,0
62,64,6,22,443,16,0
561,128,17,22,8080,16,0
1163,64,6,80,1024,2,0
841,64,17,80,80,16,0
1243,128,6,22,1024,2,0
1286,64,6,53,443,2,0
801,64,6,80,8080,2,0
481,64,6,22,80,16,0
808,64,6,80,8080,16,0
1055,64,6,53,443,16,0
1388,64,6,443,443,16,0
555,128,6,80,1024,16,0
810,23,6,36620,23,1,1
1147,26,6,30890,22,1,1
493,4,6,31700,4444,2,1
706,26,17,65117,23,2,1
668,9,6,48788,3389,1,1
426,5,17,51823,25,2,1
1413,32,6,14902,25,2,1
335,20,6,40784,23,4,1
297,11,6,28583,25,32,1
1144,15,6,47570,25,2,1
307,32,6,7795,22,2,1
458,28,6,17550,3389,2,1
274,22,6,30920,3389,1,1
1374,17,17,32947,22,2,1
1025,26,6,52937,22,32,1
1420,7,17,37227,25,2,1
1276,26,6,40414,4444,2,1
613,25,6,13876,25,1,1
88,10,6,48598,22,4,1
1190,19,6,44415,3389,2,1
262,11,6,64179,25,2,1
960,13,6,57245,4444,32,1
1342,8,6,54688,25,2,1
1471,4,6,2872,23,4,1
1357,31,17,32051,25,2,1
316,28,17,36488,22,4,1
1170,11,6,35509,3389,1,1
459,1,6,63854,3389,2,1
650,38,6,20480,22,4,1
1492,24,6,10283,23,2,1
414,31,6,36578,22,2,1
112,26,6,47946,25,1,1
1093,5,6,14433,22,2,1
1251,20,6,4815,22,1,1
1427,11,6,26888,23,2,1
234,33,17,37663,25,2,1
1219,38,17,35598,4444,2,1
1235,27,6,64651,4444,2,1
886,34,17,18912,3389,2,1
1104,15,17,20716,22,4,1
1126,32,6,24525,3389,32,1
62,21,6,14328,23,4,1
399,5,6,55224,4444,2,1
1138,6,17,28551,22,2,1
599,38,17,58439,23,2,1
711,22,6,19098,23,2,1
1181,18,6,16573,22,1,1
1443,14,6,30987,23,2,1
718,10,6,26944,22,2,1
1353,13,6,31850,22,32,1
479,31,17,37095,25,2,1
972,30,6,53289,3389,2,1
46,3,17,17085,23,2,1
1259,30,17,59250,23,2,1
460,6,17,29834,25,4,1
872,29,6,61030,25,2,1
1256,8,6,58026,25,2,1
598,33,6,48990,4444,2,1
1211,17,6,23824,4444,2,1
1265,11,6,51680,4444,2,1
953,13,6,44447,22,4,1
1482,11,6,60921,23,4,1
1490,31,6,42716,3389,4,1
1046,28,6,10964,22,2,1
165,6,6,4948,23,4,1
434,16,17,58791,23,1,1
856,4,17,29078,25,2,1
920,35,6,10807,25,1,1
615,26,6,38277,22,2,1
364,12,6,46421,25,2,1
1455,11,6,14257,23,4,1
969,37,6,46693,25,2,1
1267,25,17,25508,4444,1,1
872,18,6,26092,25,2,1
1094,19,6,1215,23,4,1
1451,23,6,26098,22,32,1
1497,38,6,5941,3389,4,1
876,18,6,39623,25,2,1
965,26,6,26856,23,2,1
1439,6,6,43952,3389,2,1
1407,4,6,21730,3389,2,1
482,29,6,14706,4444,2,1
114,34,6,27786,3389,1,1
596,17,6,24407,23,1,1
1218,16,17,59184,23,32,1
1493,2,6,28820,25,2,1
402,34,6,24690,25,2,1
487,8,6,59841,25,2,1
1297,13,6,26686,3389,32,1
301,8,6,46183,3389,4,1
164,30,6,35666,4444,4,1
950,32,17,42854,25,32,1
284,36,6,38555,22,1,1
581,30,6,11258,4444,2,1
524,1,6,58640,22,2,1
161,39,17,10245,3389,1,1
164,17,6,12434,4444,2,1
209,20,6,15543,4444,2,1
163,24,6,62437,23,32,1
1098,22,6,2075,3389,32,1
1150,29,6,46017,3389,4,1
685,22,6,10789,4444,4,1
825,9,6,12406,3389,1,1
240,37,6,13604,4444,2,1
408,10,6,57714,23,2,1
836,36,6,57587,4444,1,1
116,37,17,33347,3389,4,1
98,28,6,45781,3389,2,1
470,28,6,61657,4444,32,1
677,21,6,56496,4444,2,1
148,24,6,12963,4444,2,1
1047,2,17,52281,25,1,1
1341,8,6,30988,3389,2,1
107,27,6,1331,3389,2,1
1132,22,6,57913,25,2,1
1228,37,6,4383,4444,4,1
344,27,6,30672,23,2,1
713,29,6,36968,4444,1,1
404,3,6,35043,4444,1,1
860,13,17,39158,25,2,1
1442,10,6,28347,3389,32,1
382,36,17,51693,4444,2,1
986,9,17,7250,3389,32,1
938,27,17,22713,22,1,1
1417,34,6,31995,3389,32,1
1479,1,6,26978,23,2,1
1172,32,17,56045,23,2,1
801,25,6,25447,4444,2,1
380,29,6,31415,3389,2,1
981,7,17,15354,4444,1,1
422,3,17,5915,25,2,1
1043,20,6,6016,23,1,1
339,20,6,2985,4444,2,1
178,30,6,13521,25,2,1
398,35,17,53039,4444,4,1
875,35,17,33575,3389,2,1
1448,39,6,11872,3389,1,1
1343,27,6,60862,3389,1,1
522,26,17,56779,3389,4,1
948,14,6,14279,22,2,1
1174,17,6,5591,25,1,1
905,18,17,49871,25,32,1
178,29,6,40305,3389,4,1
1035,20,6,49027,22,2,1
474,27,6,21413,3389,1,1
548,18,6,45547,22,4,1
312,4,17,59290,3389,1,1
1162,1,6,62600,23,2,1
143,1,17,62830,23,2,1
1277,26,6,44943,4444,4,1
801,20,6,17591,3389,2,1
826,23,6,57931,25,4,1
204,10,6,4382,4444,2,1
1038,11,6,24023,23,1,1
559,5,6,43382,3389,2,1
1347,1,6,56973,4444,2,1
556,17,6,12012,3389,32,1
696,22,17,58904,23,4,1
652,34,6,41470,4444,1,1
203,29,17,32545,23,2,1
103,4,6,6722,22,1,1
1154,5,6,2297,23,1,1
1180,11,6,28567,3389,1,1
306,21,6,56829,25,2,1
1203,35,6,32373,23,1,1
285,12,17,12265,25,4,1
434,26,17,51272,22,32,1
515,19,6,10521,4444,2,1
1016,7,6,42899,4444,4,1
1247,7,17,33727,25,1,1
1083,26,6,45065,4444,2,1
597,5,17,32978,23,2,1
1057,21,17,9026,25,2,1
922,14,17,5271,3389,2,1
186,4,6,43012,23,2,1
705,23,6,22722,23,4,1
1367,20,6,60345,23,4,1
659,15,6,20762,3389,1,1
859,29,17,11727,22,32,1
903,8,6,49264,4444,2,1
621,19,6,50446,25,2,1
1062,39,17,18594,22,1,1
734,28,17,62923,25,2,1
1291,27,17,13416,4444,2,1
1165,4,17,45748,3389,2,1
1480,15,6,33323,23,2,1
1279,35,6,16665,23,4,1
446,37,17,15022,3389,2,1
438,1,6,7329,22,2,1
754,3,6,33750,22,2,1
743,24,6,19806,25,1,1
800,27,6,13745,3389,2,1
538,36,17,40787,22,4,1
1013,34,6,13451,3389,2,1
121,29,6,47574,4444,2,1
643,24,6,57475,23,1,1
811,24,6,21590,23,2,1
942,4,6,60079,23,2,1
404,3,6,3254,3389,2,1
202,34,17,7535,3389,32,1
1111,23,6,50304,25,2,1
550,23,6,43253,23,1,1
1392,5,6,53848,25,2,1
155,31,6,27201,23,2,1
980,6,6,5789,25,2,1
376,37,17,21378,25,32,1
920,10,6,24953,4444,2,1
776,7,17,29844,25,2,1
879,39,6,47064,3389,2,1
186,38,6,30547,25,2,1
1386,21,6,6576,23,2,1
482,20,17,1651,25,1,1
876,3,6,13013,22,2,1
1076,22,6,14804,23,2,1
982,4,6,7613,22,4,1
326,28,6,35836,23,2,1
759,12,6,29152,3389,2,1
1177,38,6,46963,3389,2,1
519,36,6,52517,3389,1,1
61,5,6,39676,22,2,1
1412,13,6,28814,4444,2,1
722,23,17,41977,23,2,1
945,30,17,1273,3389,1,1
359,37,17,20333,23,2,1
165,25,6,55219,22,1,1
316,27,6,51150,4444,4,1
1267,14,6,26925,22,1,1
233,36,6,24600,23,2,1
735,39,6,32532,4444,2,1
1349,16,6,10199,4444,2,1
96,22,6,26488,22,2,1
1366,21,6,61305,3389,2,1
1226,21,17,17284,23,4,1
58,8,6,60485,25,2,1
1433,16,6,36464,25,2,1
303,31,6,30570,22,1,1
833,10,6,41071,23,1,1
152,32,6,57707,23,2,1
1390,34,17,59694,22,4,1
581,9,17,42454,23,2,1
686,17,6,3011,3389,4,1
618,11,17,50266,22,4,1
1128,32,17,26129,3389,4,1
1355,10,17,13972,23,1,1
64,22,17,54235,22,2,1
40,17,6,14050,23,2,1
950,4,6,3797,22,1,1
180,25,6,46951,23,2,1
687,21,6,10902,3389,4,1
227,37,17,58559,3389,2,1
1191,38,6,43970,23,2,1
240,1,17,61991,22,2,1
1190,25,17,57585,25,2,1
296,36,17,11401,3389,1,1
586,17,17,54616,3389,4,1
233,24,6,8371,25,1,1
742,2,6,34800,23,4,1
1167,15,6,4807,22,4,1
1328,32,6,56822,23,4,1
841,39,6,5322,4444,2,1
981,6,6,5692,3389,4,1
1447,1,17,21695,4444,2,1
1323,23,6,35844,3389,2,1
453,39,6,56185,3389,1,1
1421,17,6,61676,4444,2,1
1138,34,6,35508,4444,2,1
1418,29,6,34102,23,2,1
949,9,17,65060,4444,2,1
227,13,6,48183,23,32,1
1353,6,17,21946,23,2,1
84,6,6,35052,23,2,1
122,20,17,46949,3389,2,1
1186,3,6,21340,3389,2,1
397,17,6,12484,4444,32,1
1129,12,6,17992,3389,2,1
975,1,17,31290,4444,1,1
414,17,6,61167,3389,1,1
201,3,6,31233,22,32,1
1443,26,17,25024,22,1,1
1421,15,17,58727,4444,4,1
1251,36,6,15035,3389,2,1
361,32,17,3890,3389,2,1
489,32,6,48157,23,2,1
1076,4,6,6922,25,4,1
223,18,6,19419,4444,2,1
150,19,17,40043,25,2,1
547,35,17,38731,25,2,1
1353,14,6,5030,4444,2,1
334,33,6,35417,3389,2,1
943,14,6,11980,4444,32,1
1278,34,17,51066,25,2,1
1013,4,17,31687,3389,1,1
671,24,6,7102,22,4,1
1090,29,17,30655,4444,2,1
772,19,17,31164,4444,2,1
1294,6,6,57212,3389,2,1
360,33,6,63925,22,2,1
952,19,6,42715,22,1,1
1296,1,6,4985,3389,2,1
476,5,6,30301,23,2,1
820,27,6,52680,4444,1,1
1466,16,17,42598,4444,32,1
1116,6,6,53982,25,4,1
1376,13,6,32441,3389,4,1
1344,35,6,23508,25,4,1
765,19,6,19127,25,2,1
70,12,6,30369,22,4,1
376,16,6,47350,4444,2,1
222,10,6,40478,25,1,1
1086,25,6,2611,22,1,1
583,20,6,57176,3389,2,1
1137,31,6,43595,25,4,1
1073,4,17,51072,4444,32,1
699,23,6,55734,25,2,1
199,2,6,58645,3389,4,1
1077,22,17,22055,25,2,1
1241,37,6,27236,4444,1,1
451,8,6,11374,22,2,1
1051,7,17,19840,4444,1,1
92,14,6,21312,22,32,1
447,3,6,30456,23,4,1
886,16,17,45246,4444,4,1
1085,19,17,49641,4444,2,1
1093,18,17,7861,3389,32,1
742,16,6,35241,25,2,1
299,8,6,21908,22,4,1
1268,33,6,6478,22,2,1
1122,12,6,10448,3389,2,1
815,11,6,37909,3389,1,1
1075,5,6,42661,25,2,1
1353,27,17,44642,25,2,1
889,12,6,19436,4444,2,1
393,17,6,63695,23,2,1
1138,6,6,48135,25,2,1
912,33,6,40637,3389,2,1
1030,5,6,21166,25,2,1
1304,28,6,56080,22,2,1
1057,14,6,38416,23,1,1
1217,5,6,60405,4444,2,1
1159,33,17,61017,22,32,1
333,19,17,64140,22,4,1
248,22,6,9872,23,2,1
1406,5,6,50341,4444,4,1
1151,2,17,14160,3389,4,1
857,30,17,54767,4444,32,1
429,39,6,1613,25,1,1
364,4,17,21932,22,2,1
979,33,6,52997,25,1,1
928,13,17,62626,3389,1,1
1220,20,17,7533,25,1,1
707,7,6,41485,4444,2,1
672,15,17,43246,25,4,1
616,23,6,50247,3389,32,1
176,14,17,45500,3389,2,1
467,23,6,46734,3389,2,1
651,19,17,53756,4444,2,1
950,29,6,58138,3389,4,1
858,20,6,50444,22,1,1
180,29,6,10992,3389,1,1
1146,24,17,3486,25,2,1
216,18,17,10484,25,1,1
237,10,17,34807,25,2,1
663,8,17,61090,4444,2,1
730,26,6,10299,25,4,1
1484,29,6,29701,4444,32,1
440,10,6,14293,4444,32,1
510,17,6,65081,3389,32,1
257,2,6,58160,22,2,1
968,6,6,1430,3389,2,1
671,5,6,8408,3389,4,1
990,28,6,56225,4444,32,1
945,5,6,23577,4444,2,1
214,18,6,25390,25,2,1
62,26,17,45060,25,2,1
274,20,17,18393,3389,1,1
1076,27,17,12819,23,2,1
1164,12,6,5509,23,2,1
968,7,6,42693,25,2,1
562,3,17,3642,23,2,1
470,10,6,31167,25,4,1
832,34,6,30449,4444,2,1
572,25,6,23697,3389,1,1
1018,35,6,10627,22,1,1
1356,16,6,40720,3389,4,1
849,2,6,6392,25,2,1
952,24,6,5645,25,32,1
1164,10,6,59853,3389,1,1
1367,38,6,64524,25,32,1
910,22,17,61318,23,32,1
579,26,6,15743,23,2,1
1063,39,6,30251,25,2,1
1418,27,17,44918,25,2,1
1366,29,6,8590,23,1,1
266,38,6,13330,25,2,1
1299,20,6,54846,25,2,1
912,27,6,25066,3389,2,1
931,20,6,16110,22,2,1
1076,19,17,18411,23,2,1
249,20,6,28066,3389,2,1
780,35,6,24912,22,2,1
436,2,6,52642,25,2,1
1163,30,6,27538,25,2,1
70,34,6,19347,3389,2,1
937,22,6,19043,25,4,1
688,3,6,10914,4444,1,1
368,6,6,41887,3389,2,1
1229,15,6,56441,22,2,1
991,27,6,46511,3389,4,1
1163,10,17,11307,23,4,1
660,9,6,19303,3389,4,1
1236,33,6,48023,25,1,1
